Processo SEI,ID,Especificacao,Tipo,Atribuicao,Etiqueta,Anotacao,Link_Permanente,Qtd_Ocorrencias
23117.000116/2026-84,7745379,Recolhimneto de equipamento em desuso,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7745379,1
23117.000442/2025-19,6686307,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6686307,1
23117.000574/2026-13,7750114,(Não Visualizado) Recolhimento de Cabine de Segurança,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7750114,1
23117.000979/2026-51,7755015,Coleta de bens em desuso / Solicitação de baixa de bens,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7755015,1
23117.001285/2024-70,5680563,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5680563,1
23117.001500/2024-32,5682844,Baixa de 1 Computador,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5682844,1
23117.001655/2023-98,4686216,Solicita exclusão de bens patrimoniais lotados na Faculdade de Engenharia Química.,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=4686216,1
23117.001793/2026-10,7763967,Bens em desuso na Biblioteca Central Santa Mônica,Material: Recolhimento de Material ao Depósito,cpetrag,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7763967,1
23117.001861/2020-55,2044395,Recolhimento de material para descarte à DIALM em 2020,Material: Recolhimento de Material ao Depósito,cpetrag,Recolhimento,lancado na planilha,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=2044395,1
23117.002145/2026-81,7768840,(Não Visualizado) Baixa de Patrimônio - Glória,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7768840,1
23117.002305/2024-20,5691370,CPUS devolvidas à DIRAM para permuta por CPUs novas com a PROPLAD,Material: Recolhimento de Material ao Depósito,cpetrag,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5691370,1
23117.002358/2026-11,7771373,"IMPRESSORA LASERJET PRO COLORIDA CONEXAO USB 2.0/ETHERNET/WI-FI, patrimônio: 714128",Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7771373,1
23117.002513/2024-29,5693352,Atualização do parque computacional IGUFU - Distribuição PROPLAD 2024,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5693352,1
